,English,Spanish
21,go on,Continúa.
22,go on,Continúe.
23,hello,Hola.
28,oh no,"¡Oh, no!"
29,relax,Tomátelo con soda.
30,smile,Sonríe.
31,attack,¡Al ataque!
32,attack,¡Atacad!
33,get up,Levanta.
34,go now,Ve ahora mismo.
35,get it,¡Lo tengo!
36,get it,¿Lo pillas?
37,get it,¿Entendiste?
39,hop in,Métete adentro.
40,hug me,Abrázame.
43,leave,Salí.
50,im up,Estoy levantado.
51,listen,Escucha.
52,listen,Escuche.
53,listen,Escuchen.
64,really,¿En serio?
65,really,¿La verdad?
66,thank,¡Gracias!
67,thank,Gracias.
68,try it,Pruébalo.
72,ask tom,Pregúntale a Tom.
73,awesome,¡Órale!
79,beat it,Pírate.
80,call me,Llamame.
81,call me,Llamadme.
82,call me,Llámame.
83,call us,Llámanos.
84,come in,Entre.
85,come in,Pase.
86,come in,¡Entren!
87,come on,¡Órale!
88,come on,Ándale.
89,come on,¡Órale!
90,drop it,Suéltalo.
91,get tom,Agarra a Tom.
92,get out,Bájate.
93,get out,Salte.
94,get out,Sal.
95,get out,Salí.
96,get out,Salid.
97,get out,Salgan.
98,go away,¡Vete de aquí!
99,go away,¡Lárgate!
100,go away,¡Salga de aquí!
101,go away,¡Largo!
102,go away,¡Vete ya!
103,go away,¡Órale!
104,go away,¡A la calle!
105,go away,¡Vete de aquí!
106,go away,¡Lárgate!
107,go away,¡Largo!
108,go away,¡Vete ya!
109,go away,¡Órale!
110,go away,Lárguese.
111,go away,Váyase.
112,go home,Vete a casa.
113,go slow,Vaya despacio.
114,goodbye,¡Hasta luego!
115,goodbye,Hasta la vista.
116,goodbye,¡Chau!
117,hang on,¡Espera!
118,hang on,¡Espera un momento!
119,hang on,¡Un segundo!
120,hang on,Agarra fuertemente.
123,help me,Ayúdame.
124,help me,Ayúdame.
125,help me,Échame una mano.
126,help me,Ayudame.
127,help us,Ayúdanos.
128,hit tom,Golpea a Tom.
129,hold it,Espera.
130,hold on,Resista.
131,hold on,Resiste.
132,hold on,Agarra fuertemente.
133,hug tom,Abraza a Tom.
134,agree,Estoy de acuerdo.
135,agree,De acuerdo.
141,sleep,Dormí.
143,ill go,Iré.
144,im tom,Soy Tom.
145,im fat,Estoy gordo.
146,im fat,Soy gorda.
147,im fit,Estoy en forma.
148,im hit,Estoy afectado.
149,im old,Soy viejo.
150,im shy,Soy tímido.
151,im wet,Estoy mojada.
155,join us,Únete a nosotros.
156,join us,Sé parte nuestra.
157,keep it,Guárdalo.
158,me too,"Yo, también."
159,open up,Abre.
160,perfect,¡Perfecto!
161,see you,Nos vemos.
162,show me,Muéstramelo.
163,show me,Enséñamelo.
164,show me,Mostrame.
165,shut up,¡Cierra la boca!
166,shut up,¡Cerrá el pico!
167,skip it,Sáltatelo.
170,stop it,Páralo.
171,stop it,Deténlo.
172,take it,Cógelo.
173,tell me,Decime.
174,tom eat,Tom comió.
175,tom run,Tom corrió.
176,tom win,Tom ganó.
177,wait up,Espérame despierto.
178,wake up,¡Despierta!
179,wake up,¡Despiértate!
180,wake up,¡Despertate!
181,wake up,Despierta.
182,wash up,Lávate las manos.
186,welcome,Bienvenidos.
187,welcome,Bienvenidas.
197,ask them,Preguntales.
198,ask them,Pregúntales.
199,back off,Aparta.
200,back off,Apártate.
202,brave,Sé fuerte.
203,brief,Sé breve.
204,brief,Sea breve.
205,brief,Sean breves.
206,quiet,Estate quieto.
207,still,No te muevas.
208,call tom,¡Llamalo a Tomás!
209,call tom,¡Llámalo a Tomás!
210,call tom,¡Llámenlo a Tomás!
211,cheer up,Anímate.
212,cheer up,Venga.
213,cool off,¡Cálmate!
214,cuff him,Espósale.
216,drive on,Continúa.
217,find tom,Encontralo a Tomás.
218,find tom,Encuéntralo a Tomás.
219,find tom,Encuéntrelo a Tomás.
220,find tom,Encuéntrenlo a Tomás.
221,find tom,Encuentre a Tom.
222,find tom,Encuentren a Tom.
223,fix this,Arregla esto.
224,get away,¡Vete de aquí!
225,get away,¡Lárgate!
226,get away,¡Largo!
227,get away,¡Vete ya!
228,get down,Ponte a ello.
229,get down,Abajo.
230,get down,Túmbate.
231,get lose,¡Piérdete!
232,get lose,¡Vete de aquí!
233,get lose,¡Lárgate!
234,get lose,¡Largo!
235,get lose,¡Vete ya!
236,get lose,Esfúmate.
237,get real,¡Despierta!
238,get real,¡Piénsalo bien!
239,get real,Abre los ojos.
240,go ahead,Adelante.
241,go ahead,Adelante.
242,go in,Entre.
243,go in,Entra.
244,go in,Entren.
245,go in,Entrá.
246,go in,Entrad.
247,good job,¡Buen trabajo!
248,grab tom,Sujeta a Tom.
249,grab him,Agárralo.
253,speak,Él habló.
256,help tom,Ayuda a Tom.
257,help him,Ayúdalo.
258,hi guy,"Hola, ¿qué hay?"
259,hi guy,"Ey, chavales."
260,hi guy,"¿Qué pasa, troncos?"
261,hi guy,Buenas.
262,hi guy,¿Qué tal os va?
263,hi guy,Hola por aquí.
267,humor me,Hazme el favor.
268,humor me,Compláceme.
269,hurry up,¡Date prisa!
270,hurry up,Apresúrate.
271,agree,Convine.
272,agree,Acepté.
273,agree,Accedí.
276,eat it,Me lo comí.
277,eat it,Me la comí.
282,forget,Lo olvidé.
283,get by,Me las arreglo.
284,get it,Lo entiendo.
285,get it,Lo tengo.
286,phone,Llamé por teléfono.
287,refuse,Me niego.
288,resign,Dimito.
289,resign,Renuncio.
290,saw it,Lo vi.
291,smile,Sonreí.
297,use it,Yo lo uso.
299,ill pay,Yo pagaré.
300,im back,He vuelto.
301,im back,Estoy de vuelta.
302,im bald,Soy calvo.
303,im bald,Estoy calvo.
304,im calm,Estoy calmado.
305,im cool,Estoy tranquilo.
306,im do,He terminado.
307,im easy,Soy bastante facilón.
308,im fair,Soy justo.
309,im fine,Estoy perfectamente.
310,im free,¡Soy libre!
311,im free,Yo soy libre.
312,im full,Estoy lleno.
313,im full,Estoy llena.
314,im full,Ya me llené.
315,im here,Estoy aquí.
316,im home,Estoy en casa.
317,im hurt,Estoy herido.
318,im late,Llego tarde.
319,im lazy,Soy vago.
320,im lose,Estoy perdida.
321,im mean,Soy malo.
322,im next,Me toca a mí.
323,im okay,Estoy perfectamente.
324,im poor,Soy pobre.
325,im rich,Soy rica.
326,im rich,Soy rico.
327,im safe,Estoy a salvo.
328,im sick,Estoy enferma.
329,im thin,Soy delgado.
330,im tidy,Estoy limpio.
331,im warm,Estoy calentito.
332,im weak,Estoy débil.
333,im wise,Soy listo.
334,ive win,Gané.
346,keep out,Prohibido pasar.
347,keep out,No entrar.
348,kiss tom,Besá a Tomás.
349,kiss tom,Besa a Tomás.
350,kiss tom,Besen a Tomás.
351,leave it,Déjalo.
352,leave me,Déjame.
353,leave us,Déjanos.
354,let go,Vamos.
355,let go,¡Órale!
356,look out,Cuidado.
357,marry me,Cásate conmigo.
358,may go,¿Puedo ir?
359,save tom,Salva a Tom.
363,sit down,¡Sentate!
364,sit down,Siéntate.
365,sit here,Siéntate aquí.
366,speak up,¡Hable más fuerte!
367,speak up,Habla más fuerte.
368,speak up,¡Habla más alto!
369,stand by,Prepárate.
370,stand by,Un momento.
371,stand up,¡Parate!
372,stand up,¡De pie!
373,stay put,No te muevas.
374,stop tom,Detén a Tom.
375,take tom,Llévate a Tom.
376,tell tom,Díselo a Tom.
377,terrific,¡Genial!
378,terrific,¡Órale!
380,tom come,Tom vino.
381,tom die,Tom ha muerto.
382,tom fell,Tom se cayó.
383,tom know,Tom lo sabía.
384,tom know,Tom tenía constancia de ello.
385,tom leave,Tom se fue.
386,tom lie,Tom mintió.
387,tom lie,Tomás miente.
388,tom lose,Tom perdió.
389,tom pay,Tom pagó.
390,tom quit,Tom renunció.
391,tom swim,Tom nadó.
392,tom weep,Tom lloró.
393,toms up,Tom se ha levantado.
395,trust me,Confía en mí.
396,try hard,Inténtalo de veras.
397,try some,Prueba un poco.
398,try some,Pruebe un poco.
399,try some,Prueben un poco.
400,try this,Prueben esto.
401,try this,Probá esto.
402,try this,Prueba esto.
403,use this,Usa esto.
404,warn tom,Avísale a Tom.
405,warn tom,Avísele a Tom.
406,warn tom,Avísenle a Tom.
407,warn tom,Avisale a Tom.
408,watch me,Mírame.
409,watch me,Vigílame.
410,watch me,Obsérvame.
411,watch us,Obsérvalos.
412,watch us,Obsérvanos.
413,agree,Estamos de acuerdo.
415,well go,Iremos.
416,be ok,Estamos bien.
427,whos he,¿Quién es él?
428,write me,Escríbeme.
434,aim fire,Apunta. ¡Fuego!
435,answer me,Respóndeme.
436,answer me,Respondedme.
437,answer me,Respóndanme.
438,bird fly,Los pájaros vuelan.
439,bless you,Jesús.
440,call home,¡Llama a casa!
441,calm down,Cálmate.
442,calm down,Tranquilízate.
443,calm down,Tomátelo con soda.
444,calm down,Bajá un cambio.
448,catch tom,¡Atrápelo a Tomás!
449,catch him,Captúralo.
450,catch him,Captúrenlo.
451,catch him,Atrápenlo.
452,catch him,Atrápalo.
453,come back,Vuelve.
454,come here,Vení.
455,come here,Ven.
456,come here,Venid aquí.
457,come home,Ven a casa.
458,come over,Venid aquí.
459,come over,Vente.
460,come over,Veníos.
461,come over,Venga aquí.
462,come soon,Vuelve pronto.
464,dog bark,Los perros ladran.
472,fantastic,¡Fantástico!
473,fantastic,¡Es estupendo!
474,fantastic,¡Órale!
475,feel this,Tienta esto.
476,feel this,Tiente esto.
477,feel this,Tienten esto.
478,feel this,Tentad esto.
479,feel this,Tentá esto.
480,follow me,Sígueme.
481,follow me,Seguidme.
482,follow us,Síguenos.
483,forget it,Déjalo.
484,forget me,Olvídame.
485,forget me,Olvídate de mí.
486,forget me,Olvídenme.
487,forget me,Olvídense de mí.
488,get ready,Preparaos.
489,go it,Ve a por ello.
490,go it,Ve a cogerlo.
491,go get it,Ve a por ello.
492,go get it,Vete a por ello.
493,go get it,Id a por ello.
494,go inside,Entra.
495,go bed,Vete a la cama.
496,grab that,Cógelo.
497,grab this,Agarra esto.
503,shave,Él se afeitó.
504,smile,Sonrió.
505,hes dj,Él es DJ.
506,hes fast,Él es veloz.
507,hes good,Él es bueno.
508,hes rich,Él es rico.
509,hes rich,Es rico.
511,hold this,Sostén esto.
512,awful,¡Qué horror!
513,weird,¡Qué raro!
514,hows tom,¿Cómo está Tom?
515,humor tom,Divierte a Tom.
523,beg you,Te lo ruego.
524,beg you,Te lo suplico.
529,cringe,Sentí vergüenza.
530,faint,Perdí la consciencia.
531,faint,Quedé inconsciente.
532,give up,Lo dejé.
533,give up,Me rendí.
534,give up,Tiré la toalla.
535,give up,Cedí.
536,get you,Te entiendo.
537,get you,Te pillo.
538,get you,Ya te pillo.
539,get hit,Me dieron.
540,get hit,Me alcanzaron.
541,hate it,Lo odio.
542,hate it,Me la seca.
543,hate it,Me la baja.
544,hit tom,Golpeo a Tom.
545,hope so,Eso espero.
546,know it,Lo sabía.
547,laugh,Me reí.
548,like it,Me gusta.
549,love it,¡Lo adoro!
550,love it,Me encanta.
551,mean it,Hablo en serio.
552,mean it,Lo digo en serio.
553,mean it,Hablo en serio.
554,miss it,Lo echo en falta.
555,miss it,Lo echo de menos.
556,miss it,Lo añoro.
557,need it,Lo necesito.
558,saw tom,Vi a Tom.
559,saw him,Le vi.
560,saw him,Lo vi.
561,saw one,Vi uno.
562,saw one,Vi a uno.
563,saw one,Veía a uno.
564,saw you,Te vi.
565,saw you,Te he visto.
566,see tom,Veo a Tom.
568,ill cook,Yo cocinaré.
569,ill cook,Yo guisaré.
570,ill live,Viviré.
571,ill sing,Cantaré.
572,ill stop,Pararé.
573,ill stop,Lo dejaré.
574,ill wait,Esperaré.
575,ill wait,Aguardaré.
576,ill walk,Caminaré.
577,ill walk,Andaré.
578,ill work,Voy a trabajar.
579,im man,Soy un hombre.
580,im pro,Soy un pro.
581,im alone,Estoy solo.
582,im alone,Estoy sola.
583,im alone,Yo estoy solo.
584,im alone,Yo estoy sola.
585,im angry,Estoy enojado.
586,im angry,Estoy enojada.
587,im awake,Estoy despierto.
588,im blind,Soy ciega.
589,im break,Estoy sin dinero.
590,im break,Estoy quebrado.
591,im break,Estoy sin blanca.
592,im break,No tengo blanca.
593,im crazy,Estoy loco.
594,im drink,Estoy borracho.
595,im drink,Estoy tomada.
596,im drink,Estoy prendida.
597,im die,Me estoy muriendo.
598,im first,Soy el primero.
599,im first,Voy el primero.
600,im first,Me toca primero.
601,im first,Yo voy primero.
602,im happy,Soy feliz.
603,im happy,Estoy feliz.
604,im love,Soy amado.
605,im love,Soy amada.
606,im obese,Soy obeso.
607,im ready,Estoy listo.
608,im sorry,Lo siento.
609,im tire,Yo estoy cansado.
610,im tire,Yo estoy cansada.
611,im yours,Soy tuyo.
612,im yours,Soy tuya.
613,im yours,Soy suyo.
614,ive lose,He perdido.
615,ignore it,Ólvidalo.
616,ignore it,No hagas caso.
617,tom ok,¿Está bien Tom?
618,tom in,¿Está Tom?
630,stink,Apesta.
664,keep them,Guárdalos.
665,keep them,Quédatelos.
666,keep them,Guárdenselos.
667,keep this,Guarda esto.
668,keep this,Guarde esto.
669,keep this,Guardá esto.
670,keep this,Guardad esto.
671,keep this,Guarden esto.
672,keep warm,Mantente caliente.
673,keep warm,Manténgase caliente.
674,keep warm,Mantenete caliente.
675,keep warm,Mantenete abrigado.
676,keep warm,Mantente abrigado.
677,keep warm,Manténgase abrigado.
678,keep warm,Manténganse calientes.
679,keep warm,Manténganse abrigados.
680,leave tom,Dejalo a Tomás.
681,leave tom,Déjalo a Tomás.
682,leave tom,Déjelo a Tomás.
683,leave now,Ahora márchate.
684,leave now,Ahora vete.
685,leave now,Ahora lárgate.
686,let go,¡Déjame marchar!
687,let go,¡Suéltame!
688,let go,¡Déjeme ir!
689,let go,¡Déjeme ir!
690,let in,Déjame entrar.
691,let in,Déjeme entrar.
692,let us in,Déjanos entrar.
693,let eat,Comamos.
694,let see,Veamos.
695,let try,¡Intentémoslo!
696,lie still,Túmbate en silencio.
697,lie still,Mantente quieto en el suelo.
698,listen up,Escuchá.
699,look away,Mirá para otro lado.
700,look away,Mira para otro lado.
701,look away,Mire para otro lado.
702,look away,Miren para otro lado.
703,look back,¡Mira hacia atrás!
704,look back,Mira atrás.
705,look back,Mire atrás.
706,look back,Mirad atrás.
707,look here,Mira aquí.
708,look here,Mirad aquí.
709,look here,Miren aquí.
710,loosen it,Aflójalo.
711,loosen it,Suéltalo.
712,loosen it,Suéltala.
713,loosen it,Aflójala.
714,move over,Hazte a un lado.
715,move over,Deja sitio.
716,move over,Mueve el culo.
717,move over,Deja pasar.
718,nice shoot,¡Buen tiro!
719,course,¡Por supuesto!
720,open fire,¡Disparad!
721,open fire,¡Fuego a discreción!
722,pardon me,¿Perdona?
723,please go,"Por favor, ve."
724,please go,"Por favor, vete."
725,please go,"Por favor, márchate."
726,please go,"Por favor, váyase."
727,put on,Póntelo.
728,put on,Póngaselo.
729,read this,Lee esto.
730,read this,Lea esto.
731,read this,Lean esto.
732,read this,Leed esto.
733,say hello,Decí hola.
734,search me,A mí que me registren.
735,see above,Véase arriba.
736,see above,Véase más arriba.
737,seize him,¡A por él!
738,seize him,¡Cogedlo!
739,seize him,¡Arrestadlo!
740,seize him,¡Prendedlo!
741,seize him,¡Capturadlo!
742,seriously,¿En serio?
753,sign here,Firme aquí.
754,sign this,Firma esto.
755,sign this,Firme esto.
756,sign this,Firmen esto.
757,sign this,Firmá esto.
758,sign this,Firmad esto.
759,sit still,Siéntate y no te muevas.
760,sit still,Siéntate y quédate quieto.
761,sit there,Sentate ahí.
762,sit tight,Tú mantente.
763,slow down,Quieto.
764,slow down,Más despacio.
765,stay away,Fuera.
766,stay away,Aléjate.
767,stay calm,Mantén la calma.
768,stay calm,Mantené la calma.
769,stay here,Quedate acá.
770,step back,Da un paso atrás.
771,stop here,Para aquí.
772,stop here,Párate aquí.
773,stop here,Detente aquí.
774,stop here,Deténgase aquí.
775,stop here,Deténganse aquí.
776,stop here,Paraos aquí.
777,stop here,Parad aquí.
778,stop that,Para eso.
779,stop them,Deténlos.
780,stop them,Párales.
781,take care,¡Cuidate!
782,take care,¡Te cuidas!
783,take care,Cuídate.
784,take care,Cuidaos.
785,take mine,Coge el mío.
786,take mine,Toma el mío.
787,take over,Asume el mando.
788,take over,Toma el control.
789,take over,Encárgate tú.
790,take this,Toma esto.
791,take this,Tome esto.
792,take this,Tomen esto.
793,take this,Tomá esto.
794,thank you,¡Gracias!
795,thank you,Gracias a ti.
796,thank you,Gracias.
797,thats it,Eso es.
798,thats me,Soy yo.
799,thats me,Ese soy yo.
802,leave,Se fueron.
803,leave,Se marcharon.
804,leave,Se iban.
806,tom bow,Tom se inclinó.
807,tom care,Tom se preocupó.
808,tom care,Tom se preocupaba.
809,tom care,A Tom le importaba.
810,tom care,Tom se preocupa.
811,tom care,A Tom le importa.
812,tom cry,Tom lloró.
813,tom doze,Tom dormitó.
814,tom drive,Tomás condujo.
815,tom ok,Tom está bien.
816,tom in,Tom está dentro.
817,tom up,Tom está levantado.
818,tom knit,Tom teje.
819,tom know,Tom sabe.
820,tom move,Tom se mudó.
821,tom move,Tom se movió.
822,tom rock,Tom se mece.
823,tom stand,Tom se quedó.
824,tom swim,Tom nada.
825,tom swear,Tom juró.
826,tom try,Tomás lo intentó.
827,tom try,Tomás lo intenta.
828,tom vote,Tomás votó.
829,tom walk,Tom camina.
830,tom wave,Tom saludó.
831,tom work,Tomás trabaja.
832,tomll go,Tom irá.
